# SYNTHETIC ambient-noise recording (site A, f0 = 2.5 Hz) — QuakeLogic HVSR Studio example, NOT field data
# model: 1-DOF resonant amplification, f0 = 2.5 Hz, A0 = 5.00, damping = 0.1021
# sample_rate = 100 Hz, start = 2025-01-01T00:00:00.000000Z, units = counts
time_s	north	east	vertical
0.00	-57.1823	22.6077	-77.9760
0.01	-59.3144	0.2000	25.6606
0.02	-62.9197	-17.5775	-88.9912
0.03	-56.7088	-35.6420	119.9734
0.04	-52.1619	-55.5932	22.3767
0.05	-45.9736	-74.4109	-15.3567
0.06	-35.5254	-89.3472	81.8212
0.07	-17.8617	-96.5410	-6.2490
0.08	-2.0962	-108.7512	-54.7581
0.09	17.5960	-113.4649	95.9558
0.10	31.7169	-115.5770	73.6952
0.11	46.5622	-119.7903	-34.1801
0.12	58.5197	-116.1543	9.6663
0.13	63.0994	-113.5416	-121.3487
0.14	68.3159	-103.5839	-2.8278
0.15	67.0188	-92.4901	-42.4678
0.16	60.3760	-80.3824	-38.2056
0.17	59.8377	-62.1241	8.9734
0.18	59.5304	-46.5898	-67.4191
0.19	52.2582	-36.0499	-84.6786
0.20	41.4899	-22.8278	301.7632
0.21	34.7394	-1.1730	-94.8069
0.22	27.9919	22.9734	16.9285
0.23	21.4036	43.8389	-76.3986
0.24	9.8959	71.0857	41.8376
0.25	-2.2837	88.4023	37.0212
0.26	-10.3062	106.6533	-54.4830
0.27	-15.1928	125.2935	130.1857
0.28	-14.8899	137.7098	-83.0997
0.29	-11.0185	151.6833	-177.6276
0.30	-12.0835	155.5839	50.6519
0.31	-18.9948	155.6868	0.7460
0.32	-28.4269	148.9771	50.3357
0.33	-35.1304	139.4267	15.0116
0.34	-41.4701	128.2655	152.9930
0.35	-45.6086	117.0227	193.6189
0.36	-43.8935	106.7689	-10.7025
0.37	-42.8970	92.8348	-72.3456
0.38	-38.6164	71.5471	106.2380
0.39	-31.0659	58.2743	-41.8147
0.40	-27.9669	40.0971	-121.3220
0.41	-22.0989	17.1106	-5.9651
0.42	-5.0561	-0.3231	-58.6397
0.43	11.8741	-21.6753	-111.0670
0.44	29.6896	-42.0999	59.3964
0.45	36.6099	-58.7656	-164.3984
0.46	39.2824	-74.8501	-26.1240
0.47	36.8553	-84.8355	80.2898
0.48	36.6133	-93.8367	-2.2203
0.49	39.9478	-102.0275	-125.4839
0.50	44.9038	-108.3387	72.4569
0.51	55.0545	-108.1447	-70.7177
0.52	66.3114	-108.5434	-128.9285
0.53	73.9227	-113.5398	-127.5879
0.54	79.3678	-116.0570	2.6984
0.55	80.5877	-108.6018	37.7324
0.56	77.6979	-97.2632	-145.7206
0.57	71.4497	-78.7018	-24.6549
0.58	68.5916	-59.4972	-46.5353
0.59	61.5869	-35.3074	33.5896
0.60	51.6038	-18.3907	66.7475
0.61	39.1115	-2.8795	-84.1726
0.62	32.7189	11.1253	198.7907
0.63	25.9562	21.1420	-55.5091
0.64	18.6228	32.9713	-45.4698
0.65	9.9849	46.9288	93.7020
0.66	-0.3840	56.4053	-99.8823
0.67	-10.6302	61.1555	175.0400
0.68	-21.1362	68.5627	-98.0723
0.69	-31.9767	79.6937	-102.8580
0.70	-42.5403	78.9126	41.3289
0.71	-45.9104	85.0476	-192.4350
0.72	-49.4997	87.7531	41.0899
0.73	-52.7324	88.7878	-185.4614
0.74	-49.4882	82.8385	-169.8629
0.75	-51.2626	81.0351	-39.0597
0.76	-52.5055	75.0107	41.8560
0.77	-65.2342	66.1895	64.2443
0.78	-71.7929	57.1577	45.6725
0.79	-76.3259	46.0852	-133.8705
0.80	-79.7253	34.5732	98.0319
0.81	-77.6543	18.7252	-141.9505
