timestamp_utc,N_counts,E_counts,Z_counts
2025-03-14T09:30:00.000Z,68.7672,37.3699,97.3615
2025-03-14T09:30:00.010Z,68.1959,22.7695,-58.8108
2025-03-14T09:30:00.020Z,64.8791,-3.4268,62.6656
2025-03-14T09:30:00.030Z,55.9937,-22.3449,39.1300
2025-03-14T09:30:00.040Z,40.9248,-27.3508,39.3512
2025-03-14T09:30:00.050Z,26.1821,-29.0724,-44.7127
2025-03-14T09:30:00.060Z,15.2151,-41.1226,7.3063
2025-03-14T09:30:00.070Z,1.7956,-44.5575,-85.6431
2025-03-14T09:30:00.080Z,-9.7849,-42.8665,111.7330
2025-03-14T09:30:00.090Z,-21.7125,-34.5026,6.3751
2025-03-14T09:30:00.100Z,-36.4351,-35.9372,126.4155
2025-03-14T09:30:00.110Z,-55.3986,-32.6160,29.9598
2025-03-14T09:30:00.120Z,-63.4356,-24.2864,-89.1206
2025-03-14T09:30:00.130Z,-71.5000,-14.3669,19.0471
2025-03-14T09:30:00.140Z,-86.3861,-5.9171,9.9617
2025-03-14T09:30:00.150Z,-91.6670,-1.3925,-10.7646
2025-03-14T09:30:00.160Z,-104.9108,-0.1651,-94.6439
2025-03-14T09:30:00.170Z,-103.9298,2.8321,118.6943
2025-03-14T09:30:00.180Z,-101.1771,-3.1321,-15.2251
2025-03-14T09:30:00.190Z,-84.7766,-4.9260,184.1089
2025-03-14T09:30:00.200Z,-75.1178,1.6351,200.9712
2025-03-14T09:30:00.210Z,-63.7120,-2.5600,-51.7916
2025-03-14T09:30:00.220Z,-45.9117,-4.3162,-82.9465
2025-03-14T09:30:00.230Z,-18.9598,-6.6578,-161.3781
2025-03-14T09:30:00.240Z,7.0313,-5.2264,42.5202
2025-03-14T09:30:00.250Z,24.3688,-5.9555,80.4880
2025-03-14T09:30:00.260Z,42.2659,-16.1085,209.5293
2025-03-14T09:30:00.270Z,55.8377,-15.9651,-60.4271
2025-03-14T09:30:00.280Z,62.5248,-14.0182,-62.4145
2025-03-14T09:30:00.290Z,78.6292,-8.8966,-33.8741
2025-03-14T09:30:00.300Z,88.2264,-20.2986,87.6208
2025-03-14T09:30:00.310Z,93.3604,-25.1585,-147.8888
2025-03-14T09:30:00.320Z,100.0255,-27.4711,0.8380
2025-03-14T09:30:00.330Z,107.8847,-30.6476,-21.9765
2025-03-14T09:30:00.340Z,112.1881,-33.7101,33.2880
2025-03-14T09:30:00.350Z,103.0184,-38.7651,146.3676
2025-03-14T09:30:00.360Z,83.9392,-31.1515,36.9770
2025-03-14T09:30:00.370Z,60.2010,-28.0341,16.0149
2025-03-14T09:30:00.380Z,47.4999,-23.0880,-164.8608
2025-03-14T09:30:00.390Z,33.0889,-25.1446,101.9816
2025-03-14T09:30:00.400Z,23.3966,-12.4717,-31.8680
2025-03-14T09:30:00.410Z,9.7349,-3.2221,-114.7278
2025-03-14T09:30:00.420Z,-3.7791,-4.1408,134.0226
2025-03-14T09:30:00.430Z,-17.5801,-8.7417,55.4856
2025-03-14T09:30:00.440Z,-38.4612,-9.4806,58.2035
2025-03-14T09:30:00.450Z,-61.2456,-18.9972,19.0681
2025-03-14T09:30:00.460Z,-87.5112,-27.7923,-168.8132
2025-03-14T09:30:00.470Z,-99.5580,-22.4990,76.0628
2025-03-14T09:30:00.480Z,-117.0332,-17.1197,18.1978
2025-03-14T09:30:00.490Z,-125.5904,-11.4636,114.9651
2025-03-14T09:30:00.500Z,-136.4681,-18.5718,77.7812
2025-03-14T09:30:00.510Z,-135.0622,-29.1725,163.5905
2025-03-14T09:30:00.520Z,-125.9411,-28.7569,114.9834
2025-03-14T09:30:00.530Z,-114.7578,-19.3789,73.3406
2025-03-14T09:30:00.540Z,-85.2283,-5.6622,102.3633
2025-03-14T09:30:00.550Z,-60.1758,8.7874,-9.4774
2025-03-14T09:30:00.560Z,-25.7444,18.7303,286.3793
2025-03-14T09:30:00.570Z,11.3106,32.3000,84.9294
2025-03-14T09:30:00.580Z,43.8935,51.6919,-49.8793
2025-03-14T09:30:00.590Z,78.9940,71.9369,45.0534
2025-03-14T09:30:00.600Z,112.7027,82.1288,-25.9629
2025-03-14T09:30:00.610Z,134.6158,94.9726,-128.0031
2025-03-14T09:30:00.620Z,166.9462,100.2113,-1.5569
2025-03-14T09:30:00.630Z,198.0472,103.3216,58.5421
2025-03-14T09:30:00.640Z,212.0075,104.9260,122.5892
2025-03-14T09:30:00.650Z,212.7591,101.1578,72.4794
2025-03-14T09:30:00.660Z,202.9629,97.3324,74.6858
2025-03-14T09:30:00.670Z,185.4251,89.4109,13.0270
2025-03-14T09:30:00.680Z,169.7155,82.3750,175.0691
2025-03-14T09:30:00.690Z,153.6403,71.5444,-12.1634
2025-03-14T09:30:00.700Z,130.4725,65.1815,-65.0387
2025-03-14T09:30:00.710Z,97.7111,58.4310,-9.6333
2025-03-14T09:30:00.720Z,79.3420,46.3699,-30.6522
2025-03-14T09:30:00.730Z,54.8926,34.0679,-12.3344
2025-03-14T09:30:00.740Z,31.0715,16.6018,23.3578
2025-03-14T09:30:00.750Z,13.8890,8.5933,64.6996
2025-03-14T09:30:00.760Z,5.9195,2.2327,-0.8430
2025-03-14T09:30:00.770Z,-12.2616,4.9282,-153.7036
2025-03-14T09:30:00.780Z,-35.3989,20.2596,-64.2724
2025-03-14T09:30:00.790Z,-49.3369,30.4296,89.9897
2025-03-14T09:30:00.800Z,-61.7917,32.8355,101.2133
2025-03-14T09:30:00.810Z,-76.1060,34.2038,48.8826
2025-03-14T09:30:00.820Z,-81.9229,38.8659,-133.3968
2025-03-14T09:30:00.830Z,-74.8461,45.5677,60.2486
2025-03-14T09:30:00.840Z,-72.7552,54.0289,96.7463
2025-03-14T09:30:00.850Z,-57.2393,60.9629,17.9646
2025-03-14T09:30:00.860Z,-44.3469,67.5417,29.8106
2025-03-14T09:30:00.870Z,-30.9754,77.1331,19.1528
2025-03-14T09:30:00.880Z,-11.7848,96.3376,-12.5404
2025-03-14T09:30:00.890Z,8.1761,102.6087,64.9818
2025-03-14T09:30:00.900Z,13.3590,98.8161,-37.5384
2025-03-14T09:30:00.910Z,19.6436,89.6351,-34.3278
2025-03-14T09:30:00.920Z,28.5009,76.7036,-268.8963
2025-03-14T09:30:00.930Z,38.6119,60.9825,75.6974
2025-03-14T09:30:00.940Z,42.9187,36.3491,119.9032
2025-03-14T09:30:00.950Z,54.4987,14.7379,-60.1492
2025-03-14T09:30:00.960Z,50.0853,-5.6761,68.2496
2025-03-14T09:30:00.970Z,46.4648,-35.8328,-46.4871
2025-03-14T09:30:00.980Z,37.3403,-53.1028,22.6153
2025-03-14T09:30:00.990Z,29.9112,-71.0952,49.2484
2025-03-14T09:30:01.000Z,15.7815,-83.1648,-59.7747
2025-03-14T09:30:01.010Z,0.3303,-91.8517,124.7865
2025-03-14T09:30:01.020Z,-8.4917,-93.8351,-70.7516
2025-03-14T09:30:01.030Z,-17.0723,-93.0928,30.5755
2025-03-14T09:30:01.040Z,-32.2314,-90.3719,-79.3095
2025-03-14T09:30:01.050Z,-46.3878,-87.9425,120.0748
2025-03-14T09:30:01.060Z,-65.8771,-89.8663,-134.6311
2025-03-14T09:30:01.070Z,-81.1802,-75.4251,76.1849
2025-03-14T09:30:01.080Z,-94.0123,-55.9232,164.2161
2025-03-14T09:30:01.090Z,-110.7263,-44.8469,-133.8784
2025-03-14T09:30:01.100Z,-124.2693,-32.3146,-34.9829
2025-03-14T09:30:01.110Z,-128.3412,-9.7791,-21.0589
2025-03-14T09:30:01.120Z,-122.7989,13.5499,-96.3111
2025-03-14T09:30:01.130Z,-119.7856,37.6272,-27.7744
2025-03-14T09:30:01.140Z,-112.1893,61.8815,11.5637
2025-03-14T09:30:01.150Z,-100.4476,85.6594,15.8787
2025-03-14T09:30:01.160Z,-68.3759,107.2914,64.5188
2025-03-14T09:30:01.170Z,-35.3449,117.6278,-80.2689
2025-03-14T09:30:01.180Z,-3.3144,121.8161,-74.1362
2025-03-14T09:30:01.190Z,23.8057,128.0730,-10.8071
2025-03-14T09:30:01.200Z,51.3435,135.9768,-38.9667
2025-03-14T09:30:01.210Z,79.3643,137.5178,9.2042
2025-03-14T09:30:01.220Z,101.8166,133.6554,-88.2665
2025-03-14T09:30:01.230Z,111.3495,125.9082,-107.6997
2025-03-14T09:30:01.240Z,110.8568,99.0500,48.2669
2025-03-14T09:30:01.250Z,109.7959,73.4788,-72.6908
2025-03-14T09:30:01.260Z,106.0154,55.6691,-57.9181
2025-03-14T09:30:01.270Z,101.3791,35.7293,-16.0427
2025-03-14T09:30:01.280Z,92.6958,21.8129,106.3504
2025-03-14T09:30:01.290Z,81.3962,6.7735,-10.3371
2025-03-14T09:30:01.300Z,64.4151,-11.5321,158.0375
2025-03-14T09:30:01.310Z,46.7406,-34.8375,131.8154
2025-03-14T09:30:01.320Z,27.4408,-47.5858,101.6776
2025-03-14T09:30:01.330Z,1.1736,-55.0670,17.2297
2025-03-14T09:30:01.340Z,-18.4600,-65.3933,71.1430
2025-03-14T09:30:01.350Z,-33.0217,-65.8093,-78.0082
2025-03-14T09:30:01.360Z,-44.8501,-63.7791,84.1415
2025-03-14T09:30:01.370Z,-59.8067,-58.1234,117.0704
2025-03-14T09:30:01.380Z,-71.2883,-60.9199,20.6227
2025-03-14T09:30:01.390Z,-75.8671,-58.0126,189.3544
2025-03-14T09:30:01.400Z,-80.2910,-44.3915,102.1069
2025-03-14T09:30:01.410Z,-88.5859,-38.0469,193.8701
2025-03-14T09:30:01.420Z,-85.3695,-29.4867,197.3920
2025-03-14T09:30:01.430Z,-81.8256,-20.1565,134.5606
2025-03-14T09:30:01.440Z,-77.7976,-7.3185,18.1410
2025-03-14T09:30:01.450Z,-70.3649,9.3886,45.8184
2025-03-14T09:30:01.460Z,-66.4641,22.8536,56.0994
2025-03-14T09:30:01.470Z,-60.6476,38.1029,-55.8358
2025-03-14T09:30:01.480Z,-45.6477,56.5651,74.2994
2025-03-14T09:30:01.490Z,-29.2073,65.4401,-3.9561
2025-03-14T09:30:01.500Z,-11.6023,76.4894,32.7628
2025-03-14T09:30:01.510Z,4.4161,93.0426,35.3355
2025-03-14T09:30:01.520Z,22.0400,97.1365,-5.0520
2025-03-14T09:30:01.530Z,43.4027,107.5204,-10.1622
2025-03-14T09:30:01.540Z,69.4361,108.8416,113.4122
2025-03-14T09:30:01.550Z,99.2291,98.7700,65.2492
2025-03-14T09:30:01.560Z,129.6364,88.2483,226.5891
2025-03-14T09:30:01.570Z,151.3640,78.3439,39.3672
2025-03-14T09:30:01.580Z,163.4695,70.5169,-22.2467
2025-03-14T09:30:01.590Z,164.7050,49.0986,-97.0870
2025-03-14T09:30:01.600Z,164.0210,29.7069,31.4042
2025-03-14T09:30:01.610Z,162.6540,2.8896,91.8467
2025-03-14T09:30:01.620Z,152.7385,-23.9839,-117.1118
2025-03-14T09:30:01.630Z,142.3716,-48.6464,-63.5845
2025-03-14T09:30:01.640Z,129.0222,-83.4675,7.3242
2025-03-14T09:30:01.650Z,108.5038,-114.0907,-74.0118
2025-03-14T09:30:01.660Z,80.3097,-136.1949,-87.6261
2025-03-14T09:30:01.670Z,53.7646,-137.5178,169.7144
2025-03-14T09:30:01.680Z,32.6443,-137.5178,-7.6388
2025-03-14T09:30:01.690Z,5.5978,-137.5178,4.9479
2025-03-14T09:30:01.700Z,-23.5939,-137.5178,122.8262
2025-03-14T09:30:01.710Z,-47.2227,-137.5178,49.3356
2025-03-14T09:30:01.720Z,-63.4892,-131.0699,-53.4583
2025-03-14T09:30:01.730Z,-66.6143,-117.5703,-42.0521
2025-03-14T09:30:01.740Z,-74.5195,-102.3583,-125.0423
2025-03-14T09:30:01.750Z,-79.3203,-82.5484,-42.1748
2025-03-14T09:30:01.760Z,-85.0926,-61.7083,-101.3766
2025-03-14T09:30:01.770Z,-98.6961,-40.4406,15.4466
2025-03-14T09:30:01.780Z,-105.6025,-11.2748,144.0400
2025-03-14T09:30:01.790Z,-106.5995,18.4168,-7.7508
2025-03-14T09:30:01.800Z,-98.7131,37.9855,-32.7154
2025-03-14T09:30:01.810Z,-73.8928,58.7661,-145.2293
2025-03-14T09:30:01.820Z,-51.8182,70.9234,134.0322
2025-03-14T09:30:01.830Z,-34.0142,70.1060,-93.4305
2025-03-14T09:30:01.840Z,-7.5959,68.0078,8.8202
2025-03-14T09:30:01.850Z,18.8441,58.8302,136.3392
2025-03-14T09:30:01.860Z,42.5873,50.5482,61.0159
2025-03-14T09:30:01.870Z,68.1695,44.5045,-96.6389
2025-03-14T09:30:01.880Z,92.3776,49.5825,-78.9004
2025-03-14T09:30:01.890Z,113.4182,58.1036,-179.0270
2025-03-14T09:30:01.900Z,125.3320,52.3621,-183.0950
2025-03-14T09:30:01.910Z,126.1307,50.3954,-55.1393
2025-03-14T09:30:01.920Z,126.9175,38.3956,-80.5256
2025-03-14T09:30:01.930Z,118.2675,26.7322,103.0937
2025-03-14T09:30:01.940Z,115.4173,21.9583,-55.7919
2025-03-14T09:30:01.950Z,102.7777,9.0548,-14.5212
2025-03-14T09:30:01.960Z,79.8140,0.0869,87.6096
2025-03-14T09:30:01.970Z,45.0023,-10.7775,83.5893
2025-03-14T09:30:01.980Z,22.4767,-23.6567,-63.4121
2025-03-14T09:30:01.990Z,2.7278,-37.5538,-43.3809
2025-03-14T09:30:02.000Z,-2.4069,-57.8964,78.0650
2025-03-14T09:30:02.010Z,-12.9100,-72.2610,-11.3623
2025-03-14T09:30:02.020Z,-22.1438,-81.4181,-57.4342
2025-03-14T09:30:02.030Z,-32.0101,-86.5840,128.2603
2025-03-14T09:30:02.040Z,-50.3686,-97.4783,-92.4634
2025-03-14T09:30:02.050Z,-68.9309,-108.5369,241.8770
2025-03-14T09:30:02.060Z,-86.5015,-98.8682,122.5806
2025-03-14T09:30:02.070Z,-102.7643,-86.1046,-110.5106
2025-03-14T09:30:02.080Z,-114.6703,-75.7123,141.4893
2025-03-14T09:30:02.090Z,-112.5119,-65.8178,-19.0476
2025-03-14T09:30:02.100Z,-116.2931,-57.8487,-9.8926
2025-03-14T09:30:02.110Z,-112.0770,-50.1287,-4.4467
2025-03-14T09:30:02.120Z,-104.6093,-36.5350,35.0712
2025-03-14T09:30:02.130Z,-95.7485,-23.2019,0.1600
2025-03-14T09:30:02.140Z,-91.5408,-5.8747,-79.5264
2025-03-14T09:30:02.150Z,-85.4019,15.9425,-80.1329
2025-03-14T09:30:02.160Z,-81.4454,36.7323,108.5988
2025-03-14T09:30:02.170Z,-57.4084,47.7637,-77.5314
2025-03-14T09:30:02.180Z,-34.7520,53.9385,-110.6710
2025-03-14T09:30:02.190Z,-10.6688,65.3400,57.9221
2025-03-14T09:30:02.200Z,14.4183,75.6603,-23.4407
2025-03-14T09:30:02.210Z,32.7114,78.7507,59.9501
2025-03-14T09:30:02.220Z,53.7544,80.0093,-67.8844
2025-03-14T09:30:02.230Z,62.5758,75.2417,-74.7328
2025-03-14T09:30:02.240Z,76.2856,69.7697,53.7536
